,SVZ,gVk,JuV,mjH,XZwO,Rsle,LTF,Htjn,vnx,tONb
1,22.222222222222225,8.333333333333334,41.666666666666664,0.0,19.444444444444446,69.44444444444444,11.111111111111112,0.0,11.111111111111112,8.333333333333334
1.1,66.66666666666667,0.0,100.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,0.0,33.333333333333336,0.0
1.2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1.3,0.0,25.0,25.0,0.0,25.0,75.0,0.0,0.0,0.0,25.0
1.1.1,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.2,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
1.1.3,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
1.3.1,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0
1.3.2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1.3.1.1,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
1.3.1.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
