,SVZ,gVk,JuV,mjH,XZwO,Rsle,LTF,Htjn,vnx,tONb
1,0.09390185341629965,0.09678045986664849,0.13099554871702968,0.08524375515467844,0.08732716719410237,0.23174102186707832,0.06964164145911779,0.08524375515467844,0.06478959906768142,0.054335198102685514
1.1,0.15134193157156461,0.0,0.2111259644921022,0.0,0.14074548777260154,0.2801233356777701,0.11224166672739755,0.0,0.10442161375856412,0.0
1.2,0.0,0.0,0.0,0.21192866327366047,0.0,0.5761426734526791,0.0,0.21192866327366047,0.0,0.0
1.3,0.0,0.18933250087614314,0.20501423428995125,0.0,0.13667115020589998,0.3626856684594619,0.0,0.0,0.0,0.1062964461685438
1.1.1,0.41753196135467313,0.0,0.5824680386453268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.2,0.20259615679067247,0.0,0.2826269531560577,0.0,0.0,0.3749913235966833,0.0,0.0,0.13978556645658644,0.0
1.1.3,0.0,0.0,0.45490195353795915,0.0,0.3032568613407303,0.0,0.24184118512131045,0.0,0.0,0.0
1.3.1,0.0,0.20821131595294792,0.22545671405101808,0.0,0.15029897088714314,0.29913746962791443,0.0,0.0,0.0,0.11689552948097648
1.3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.3.1.1,0.0,0.0,0.28474354154525944,0.0,0.1898220748987259,0.37779962716685933,0.0,0.0,0.0,0.1476347563891554
1.3.1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
